a.ntile,a.RECID,b.RECID,b.ntile,dist,a.ftype,a.c00100,a.e00200,a.e00300,a.e00400,b.ftype,b.c00100,b.e00200,b.e00300,b.e00400
1,224143,312786,1,0.05874785599882837,puf,-1.850279450672718,-1.0376950580321112,-0.11727072579930423,-0.03533214997609154,syn,-1.8150587227045796,-1.0186594623109226,-0.07758087521499503,-0.0518600888066942
1,224143,313382,1,0.08657026559178321,puf,-1.850279450672718,-1.0376950580321112,-0.11727072579930423,-0.03533214997609154,syn,-1.793372010198706,-1.008317540942592,-0.06141606770353273,-0.0518600888066942
1,224143,313453,1,0.06262506416232429,puf,-1.850279450672718,-1.0376950580321112,-0.11727072579930423,-0.03533214997609154,syn,-1.8089141541612488,-1.0186594623109226,-0.07758087521499503,-0.0518600888066942
1,224143,313574,1,0.05874785599882837,puf,-1.850279450672718,-1.0376950580321112,-0.11727072579930423,-0.03533214997609154,syn,-1.8150587227045796,-1.0186594623109226,-0.07758087521499503,-0.0518600888066942
1,224143,313584,1,0.06904100431222274,puf,-1.850279450672718,-1.0376950580321112,-0.11727072579930423,-0.03533214997609154,syn,-1.8096370445781114,-1.0186594623109226,-0.06747787052033109,-0.0518600888066942
1,224143,313660,1,0.4476669332982792,puf,-1.850279450672718,-1.0376950580321112,-0.11727072579930423,-0.03533214997609154,syn,-1.8150587227045796,-0.5934915838351082,-0.07758087521499503,-0.0518600888066942
1,224143,313728,1,0.05874785599882837,puf,-1.850279450672718,-1.0376950580321112,-0.11727072579930423,-0.03533214997609154,syn,-1.8150587227045796,-1.0186594623109226,-0.07758087521499503,-0.0518600888066942
1,224143,314115,1,0.06889731071306562,puf,-1.850279450672718,-1.0376950580321112,-0.11727072579930423,-0.03533214997609154,syn,-1.8078298185359551,-1.0045829582262504,-0.07758087521499503,-0.0518600888066942
1,224143,314203,1,0.06322850814810518,puf,-1.850279450672718,-1.0376950580321112,-0.11727072579930423,-0.03533214997609154,syn,-1.8099984897865424,-1.0186594623109226,-0.07556027427606224,-0.0518600888066942
1,224143,314997,1,0.06007310612737377,puf,-1.850279450672718,-1.0376950580321112,-0.11727072579930423,-0.03533214997609154,syn,-1.8128900514539923,-1.0186594623109226,-0.07758087521499503,-0.0518600888066942
1,224143,315655,1,0.05942070767808754,puf,-1.850279450672718,-1.0376950580321112,-0.11727072579930423,-0.03533214997609154,syn,-1.8146972774961485,-1.0186594623109226,-0.07690734156868409,-0.0518600888066942
1,224143,315810,1,0.061452109264195975,puf,-1.850279450672718,-1.0376950580321112,-0.11727072579930423,-0.03533214997609154,syn,-1.8136129418708546,-1.0186594623109226,-0.07488674062975131,-0.0518600888066942
1,224143,315957,1,0.05874785599882837,puf,-1.850279450672718,-1.0376950580321112,-0.11727072579930423,-0.03533214997609154,syn,-1.8150587227045796,-1.0186594623109226,-0.07758087521499503,-0.0518600888066942
1,224143,316207,1,0.06009574858418212,puf,-1.850279450672718,-1.0376950580321112,-0.11727072579930423,-0.03533214997609154,syn,-1.8143358322877172,-1.0186594623109226,-0.07623380792237316,-0.0518600888066942
